Date,Close,1Month,3Months,6Months,12Months
12/1/1927,17.66,,,,
1/1/1928,17.57,-0.005096263,,,
2/1/1928,17.26,-0.017643711,,,
3/1/1928,19.280001,0.117033662,0.091732786,,
4/1/1928,19.75,0.02437754,0.124075128,,
5/1/1928,20,0.012658228,0.158748552,,
6/1/1928,19.139999,-0.04300005,-0.007261514,0.083805153,
7/1/1928,19.43,0.015151568,-0.016202532,0.105862265,
8/1/1928,20.870001,0.074112249,0.04350005,0.209154171,
9/1/1928,21.139999,0.012937134,0.104493213,0.09647292,
10/1/1928,21.68,0.025544041,0.115800309,0.097721519,
11/1/1928,24.280001,0.119926245,0.163392421,0.21400005,
12/1/1928,24.35,0.00288299,0.151844898,0.272204873,0.378822197
1/1/1929,25.74,0.057084189,0.187269373,0.324755533,0.464997154
2/1/1929,25.59,-0.005827506,0.053953828,0.226161896,0.482618772
3/1/1929,25.530001,-0.002344627,0.04846,0.207663302,0.324170108
4/1/1929,25.940001,0.016059537,0.007770047,0.196494511,0.313417772
5/1/1929,24.83,-0.042791093,-0.029699101,0.022652347,0.2415
6/1/1929,27.41,0.103906565,0.073638814,0.125667351,0.43207949
7/1/1929,28.879999,0.053630026,0.113338392,0.121989083,0.486361245
8/1/1929,31.709999,0.097991693,0.277084132,0.239155881,0.519405725
9/1/1929,30.16,-0.048880449,0.100328347,0.181355222,0.426679348
10/1/1929,24.15,-0.199270557,-0.163781134,-0.069005433,0.113929889
11/1/1929,20.92,-0.133747412,-0.340271187,-0.157470801,-0.138385538
12/1/1929,21.450001,0.025334656,-0.28879307,-0.217438854,-0.119096468
1/1/1930,22.790001,0.06247086,-0.056314658,-0.210872514,-0.114607576
2/1/1930,23.280001,0.021500657,0.112810755,-0.265846681,-0.090269597
3/1/1930,24.15,0.037371089,0.125874073,-0.199270557,-0.054054091
4/1/1930,24.9,0.031055901,0.092584419,0.031055901,-0.040092558
5/1/1930,24.49,-0.016465863,0.0519759,0.170650096,-0.013693113
6/1/1930,20.459999,-0.164557003,-0.152795072,-0.046153937,-0.253557132
7/1/1930,21.209999,0.036656893,-0.148192811,-0.069328738,-0.265581727
8/1/1930,21.370001,0.007543706,-0.127398898,-0.08204467,-0.326080048
9/1/1930,18.59,-0.13008895,-0.091397805,-0.230227743,-0.38362069
10/1/1930,16.940001,-0.088757343,-0.201320047,-0.319678675,-0.298550683
11/1/1930,16.379999,-0.033057967,-0.233504996,-0.331155615,-0.217017256
12/1/1930,15.34,-0.063492006,-0.174825175,-0.250244343,-0.284848518
1/1/1931,16.190001,0.055410756,-0.044273905,-0.236680728,-0.289600689
2/1/1931,18.030001,0.113650394,0.100732729,-0.156293863,-0.225515454
3/1/1931,16.690001,-0.074320573,0.08800528,-0.102205433,-0.30890265
4/1/1931,15.09,-0.095865842,-0.067943232,-0.109209025,-0.393975904
5/1/1931,13.02,-0.137176938,-0.277870256,-0.205128157,-0.46835443
6/1/1931,14.83,0.139016897,-0.111444032,-0.033246415,-0.27517103
7/1/1931,13.73,-0.074173972,-0.090125911,-0.151945698,-0.352663807
8/1/1931,13.86,0.009468318,0.064516129,-0.231281241,-0.351427265
9/1/1931,9.71,-0.299422799,-0.345246123,-0.418214535,-0.47767617
10/1/1931,10.43,0.07415036,-0.240349599,-0.308813784,-0.384297557
11/1/1931,9.5,-0.089165868,-0.314574315,-0.270353303,-0.420024385
12/1/1931,8.12,-0.145263158,-0.163748713,-0.452461227,-0.470664928
1/1/1932,7.94,-0.022167488,-0.23873442,-0.421704297,-0.509573841
2/1/1932,8.29,0.044080605,-0.127368421,-0.401875902,-0.540210785
3/1/1932,7.31,-0.118214717,-0.099753695,-0.247167868,-0.562013208
4/1/1932,5.83,-0.20246238,-0.265743073,-0.441035475,-0.613651425
5/1/1932,4.47,-0.233276158,-0.46079614,-0.529473684,-0.656682028
